MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20.0,2.0,86.0,14157.0,1.0,0.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,2.0,9.0,5.0,2005.0,2006.0,3.0,0.0,9.0,11.0,3.0,200.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,1249.0,5.0,0.0,673.0,1922.0,0.0,0.0,1.0,3.0,1922.0,0.0,0.0,1922.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,8.0,5.0,1.0,1.0,2005.0,0.0,3.0,676.0,4.0,4.0,2.0,178.0,51.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,5.0,2.0,354058.91
120.0,2.0,66.4251012145749,5814.0,1.0,0.0,3.0,1.0,0.0,21.0,2.0,0.0,4.0,2.0,8.0,5.0,1984.0,1984.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,1036.0,5.0,0.0,184.0,1220.0,0.0,2.0,1.0,3.0,1360.0,0.0,0.0,1360.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1984.0,1.0,2.0,565.0,4.0,4.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2009.0,0.0,0.0,241916.99
20.0,2.0,66.4251012145749,11838.0,1.0,3.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,8.0,5.0,2001.0,2001.0,3.0,0.0,9.0,11.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0,0.0,5.0,0.0,1753.0,1753.0,0.0,0.0,1.0,3.0,1788.0,0.0,0.0,1788.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,5.0,1.0,1.0,2001.0,1.0,2.0,522.0,4.0,4.0,2.0,202.0,151.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,5.0,2.0,253929.46
70.0,2.0,75.0,12000.0,1.0,3.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,5.0,7.0,7.0,1941.0,1950.0,1.0,0.0,6.0,7.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,275.0,5.0,0.0,429.0,704.0,0.0,0.0,1.0,3.0,860.0,704.0,0.0,1564.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,7.0,5.0,1.0,1.0,1941.0,2.0,1.0,234.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,5.0,2.0,167215.82
60.0,2.0,86.0,14598.0,1.0,0.0,3.0,1.0,0.0,20.0,1.0,0.0,0.0,5.0,6.0,5.0,2007.0,2007.0,1.0,0.0,9.0,11.0,3.0,74.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,0.0,5.0,0.0,894.0,894.0,0.0,0.0,1.0,3.0,894.0,1039.0,0.0,1933.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,9.0,5.0,1.0,3.0,2007.0,0.0,3.0,668.0,4.0,4.0,2.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,5.0,2.0,226518.3
180.0,3.0,21.0,1936.0,1.0,3.0,3.0,4.0,0.0,9.0,2.0,0.0,3.0,6.0,4.0,6.0,1970.0,1970.0,1.0,0.0,4.0,4.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,131.0,2.0,499.0,0.0,630.0,0.0,2.0,1.0,3.0,630.0,0.0,0.0,630.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,0.0,1.0,1979.76,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,5.0,2.0,81498.0
180.0,3.0,35.0,3675.0,1.0,3.0,3.0,4.0,0.0,6.0,2.0,0.0,4.0,7.0,5.0,5.0,2005.0,2005.0,1.0,0.0,9.0,11.0,1.0,80.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,547.0,5.0,0.0,0.0,547.0,0.0,2.0,1.0,3.0,1072.0,0.0,0.0,1072.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,5.0,0.0,2.0,2005.0,0.0,2.0,525.0,4.0,4.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,5.0,2.0,142504.75
20.0,2.0,107.0,13891.0,1.0,3.0,3.0,4.0,0.0,15.0,2.0,0.0,0.0,2.0,8.0,5.0,2007.0,2008.0,3.0,0.0,9.0,11.0,3.0,436.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,1400.0,5.0,0.0,310.0,1710.0,0.0,0.0,1.0,3.0,1710.0,0.0,0.0,1710.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,6.0,5.0,1.0,1.0,2007.0,1.0,3.0,866.0,4.0,4.0,2.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,4.0,3.0,359559.65
80.0,2.0,66.4251012145749,12800.0,1.0,3.0,2.0,4.0,1.0,19.0,2.0,0.0,0.0,7.0,7.0,5.0,1989.0,1989.0,1.0,0.0,10.0,12.0,1.0,145.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1518.0,5.0,0.0,0.0,1518.0,0.0,2.0,1.0,3.0,1644.0,0.0,0.0,1644.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1989.0,0.0,2.0,569.0,4.0,4.0,2.0,80.0,0.0,0.0,0.0,396.0,0.0,0.0,8.0,2009.0,5.0,2.0,249021.69
120.0,3.0,32.0,4500.0,1.0,3.0,3.0,2.0,0.0,10.0,2.0,0.0,4.0,2.0,6.0,5.0,1998.0,1998.0,3.0,0.0,9.0,11.0,1.0,320.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,866.0,5.0,0.0,338.0,1204.0,0.0,0.0,1.0,3.0,1204.0,0.0,0.0,1204.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,1998.0,0.0,2.0,412.0,4.0,4.0,2.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,5.0,2.0,162963.54
